number,value,datetime_start,datetime_complete,duration,params_hidden1,params_hidden2,params_lr,params_weight_decay,user_attrs_rel_Tb_%,user_attrs_rel_X_%,user_attrs_stopped_epoch,state
11,0.43363939970731735,2026-04-23 06:36:51.382365,2026-04-23 06:53:12.900736,0 days 00:16:21.518371,100,45,0.0004348475420384577,6.760738331770519e-06,0.31953054666519165,0.1141088530421257,31,COMPLETE
4,0.4789084643125534,2026-04-23 03:45:05.795939,2026-04-23 04:18:46.631656,0 days 00:33:40.835717,35,55,0.0005418282319533242,1.461896279370496e-05,0.3461473286151886,0.1327611356973648,67,COMPLETE
3,0.48471957445144653,2026-04-23 02:57:29.182937,2026-04-23 03:45:05.795359,0 days 00:47:36.612422,85,30,0.00020366442026830908,5.415244119402541e-06,0.3731169104576111,0.11160266399383545,93,COMPLETE
13,0.5033481121063232,2026-04-23 07:12:38.127053,2026-04-23 08:06:04.073474,0 days 00:53:25.946421,100,50,0.00039389634739594233,1.2331653775802612e-06,0.3666221797466278,0.13672593235969543,100,COMPLETE
10,0.5277167558670044,2026-04-23 05:47:41.271685,2026-04-23 06:36:51.381808,0 days 00:49:10.110123,95,45,0.000537673166499991,1.1799062523159305e-06,0.3987337648868561,0.12898299098014832,93,COMPLETE
12,0.5773039013147354,2026-04-23 06:53:12.901335,2026-04-23 07:12:38.126503,0 days 00:19:25.225168,30,55,0.0005823213328351406,1.1977038229413529e-05,0.41234371066093445,0.16496019065380096,39,COMPLETE
6,0.5911972522735596,2026-04-23 04:29:55.173905,2026-04-23 04:44:31.326761,0 days 00:14:36.152856,50,80,0.00021839352923182988,0.00011400863701127338,0.4138009548187256,0.17739629745483398,29,COMPLETE
5,0.6371957212686539,2026-04-23 04:18:46.632244,2026-04-23 04:29:55.173355,0 days 00:11:08.541111,65,20,0.0003135775732257748,2.9204338471814107e-05,0.4521053433418274,0.18509037792682648,22,COMPLETE
7,0.673820748925209,2026-04-23 04:44:31.327334,2026-04-23 05:11:12.323743,0 days 00:26:40.996409,65,10,0.001076962247826313,4.809461967501575e-06,0.49787452816963196,0.1759462207555771,53,COMPLETE
9,0.6746575087308884,2026-04-23 05:25:08.473328,2026-04-23 05:47:41.271141,0 days 00:22:32.797813,35,15,0.0014537555576161927,5.762487216478604e-05,0.46577683091163635,0.20888067781925201,47,COMPLETE
14,0.7170209288597107,2026-04-23 08:06:04.074022,2026-04-23 08:18:37.544810,0 days 00:12:33.470788,80,35,0.0009739211898361132,0.00038320023153456804,0.43281659483909607,0.2842043340206146,25,COMPLETE
0,0.7349961847066879,2026-04-23 02:11:18.365979,2026-04-23 02:34:31.970330,0 days 00:23:13.604351,45,100,0.0017524101118128151,0.0002481040974867811,0.48772338032722473,0.2472728043794632,45,COMPLETE
8,1.1702299118041992,2026-04-23 05:11:12.324282,2026-04-23 05:25:08.472776,0 days 00:13:56.148494,15,100,0.0043709904681305065,0.0017123375973163992,0.6097914576530457,0.5604384541511536,27,COMPLETE
1,1.3771565556526184,2026-04-23 02:34:31.970899,2026-04-23 02:48:13.298506,0 days 00:13:41.327607,20,20,0.00012551115172973836,0.0029154431891537554,0.6694629192352295,0.7076936364173889,29,COMPLETE
2,2.172057092189789,2026-04-23 02:48:13.299063,2026-04-23 02:57:29.182392,0 days 00:09:15.883329,65,75,0.00010838581269344756,0.00757947995334801,0.9489760994911194,1.2230809926986694,18,COMPLETE
