number,value,datetime_start,datetime_complete,duration,params_hidden1,params_hidden2,params_lr,params_weight_decay,user_attrs_rel_Tb_%,user_attrs_rel_X_%,user_attrs_stopped_epoch,state
10,0.4422276169061661,2026-04-22 10:02:22.466200,2026-04-22 10:30:42.996557,0 days 00:28:20.530357,100,40,0.00042946755140337527,1.1799062523159305e-06,0.31186357140541077,0.1303640455007553,51,COMPLETE
11,0.45180800557136536,2026-04-22 10:30:42.997160,2026-04-22 10:53:57.230036,0 days 00:23:14.232876,100,40,0.0005021342798999926,1.2238102352764629e-06,0.33527565002441406,0.1165323555469513,45,COMPLETE
14,0.46644487977027893,2026-04-22 11:41:09.057120,2026-04-22 12:04:55.763212,0 days 00:23:46.706092,85,65,0.00038763836350460477,3.7702059188218185e-06,0.33814752101898193,0.128297358751297,45,COMPLETE
5,0.4887622445821762,2026-04-22 08:25:43.589666,2026-04-22 08:36:09.639476,0 days 00:10:26.049810,65,20,0.0003135775732257748,2.9204338471814107e-05,0.33031171560287476,0.15845052897930145,21,COMPLETE
3,0.5265818536281586,2026-04-22 07:42:54.216629,2026-04-22 08:07:58.635097,0 days 00:25:04.418468,85,30,0.00020366442026830908,5.415244119402541e-06,0.3627743422985077,0.16380751132965088,49,COMPLETE
13,0.5602326542139053,2026-04-22 11:14:28.130377,2026-04-22 11:41:09.056584,0 days 00:26:40.926207,100,40,0.0008174627645906509,1.2024346279459768e-06,0.37747493386268616,0.18275772035121918,51,COMPLETE
4,0.561887264251709,2026-04-22 08:07:58.635702,2026-04-22 08:25:43.589126,0 days 00:17:44.953424,35,55,0.0005418282319533242,1.461896279370496e-05,0.4034123420715332,0.15847492218017578,35,COMPLETE
12,0.5742415636777878,2026-04-22 10:53:57.230599,2026-04-22 11:14:28.129842,0 days 00:20:30.899243,100,45,0.0004906690811011229,1.045464234001662e-06,0.35100236535072327,0.22323919832706451,38,COMPLETE
6,0.6378416121006012,2026-04-22 08:36:09.640063,2026-04-22 08:50:05.907641,0 days 00:13:56.267578,50,80,0.00021839352923182988,0.00011400863701127338,0.38975799083709717,0.24808362126350403,27,COMPLETE
7,0.7015276849269867,2026-04-22 08:50:05.908175,2026-04-22 09:14:06.501026,0 days 00:24:00.592851,65,10,0.001076962247826313,4.809461967501575e-06,0.3625184893608093,0.33900919556617737,47,COMPLETE
9,0.7377250790596008,2026-04-22 09:48:05.148778,2026-04-22 10:02:22.465663,0 days 00:14:17.316885,35,15,0.0014537555576161927,5.762487216478604e-05,0.46867093443870544,0.2690541446208954,28,COMPLETE
0,0.9659300446510315,2026-04-22 07:06:18.327647,2026-04-22 07:22:57.076325,0 days 00:16:38.748678,45,100,0.0017524101118128151,0.0002481040974867811,0.5509312152862549,0.4149988293647766,31,COMPLETE
8,1.6667741537094116,2026-04-22 09:14:06.501566,2026-04-22 09:48:05.148155,0 days 00:33:58.646589,15,100,0.0043709904681305065,0.0017123375973163992,0.6984249353408813,0.9683492183685303,66,COMPLETE
1,2.0438485145568848,2026-04-22 07:22:57.076890,2026-04-22 07:32:31.524436,0 days 00:09:34.447546,20,20,0.00012551115172973836,0.0029154431891537554,0.7854740619659424,1.2583744525909424,20,COMPLETE
2,3.125296115875244,2026-04-22 07:32:31.524967,2026-04-22 07:42:54.216069,0 days 00:10:22.691102,65,75,0.00010838581269344756,0.00757947995334801,1.1883171796798706,1.9369789361953735,20,COMPLETE
