model,input_dim,architecture,train_time_s,inference_us,epochs_run,n_windows,eval_stride,rel_Tb_mean_%,rel_X_mean_%,rel_Tb_p90_%,rel_X_p90_%,mae_Tb_mean_K,mae_X_mean,rel_Tb_at_1s_%,rel_Tb_at_30s_%
"lag-1 fixed [64,64]",9,"[64,64]",1837.2,67.61,60,1968337,1,0.4602,0.1612,0.8596,0.3293,1.3807,0.001612,0.0659,0.706
"lag-2 fixed [64,64]",11,"[64,64]",1818.3,73.18,59,1964540,1,0.4214,0.2299,0.7787,0.4634,1.2643,0.002299,0.0634,0.6394
"lag-3 fixed [64,64]",13,"[64,64]",4517.6,69.12,148,1960743,1,0.7761,0.9116,1.4738,2.2884,2.3284,0.009116,0.0445,1.4911
"lag-4 fixed [64,64]",15,"[64,64]",3079.4,72.63,102,1956946,1,0.5931,0.3823,1.0884,0.7858,1.7793,0.003823,0.0485,0.9941
"lag-5 fixed [64,64]",17,"[64,64]",2370.0,68.78,78,1953149,1,0.5606,0.4836,1.0637,0.9852,1.6817,0.004836,0.047,0.9463
"lag-1 tuned [85,30]",9,"[85,30]",1105.0,71.1,36,1968337,1,0.3996,0.1148,0.7687,0.2358,1.1987,0.001148,0.0659,0.5796
"lag-2 tuned [100,40]",11,"[100,40]",1604.0,70.92,51,1964540,1,0.3921,0.1343,0.7516,0.2704,1.1762,0.001343,0.065,0.5587
"lag-3 tuned [85,30]",13,"[85,30]",2300.9,70.92,76,1960743,1,0.4078,0.1152,0.7679,0.2255,1.2233,0.001152,0.0649,0.5943
"lag-4 tuned [80,40]",15,"[80,40]",5733.1,71.02,189,1956946,1,0.4536,0.1654,0.8654,0.3321,1.3607,0.001654,0.0521,0.7015
"lag-5 tuned [100,45]",17,"[100,45]",966.8,70.53,31,1953149,1,0.45,0.1199,0.885,0.2444,1.3501,0.001199,0.0675,0.6624
