number,value,datetime_start,datetime_complete,duration,params_hidden1,params_hidden2,params_lr,params_weight_decay,user_attrs_rel_Tb_%,user_attrs_rel_X_%,user_attrs_stopped_epoch,state
3,0.40796198695898056,2026-04-22 13:22:58.930159,2026-04-22 14:01:20.202831,0 days 00:38:21.272672,85,30,0.00020366442026830908,5.415244119402541e-06,0.3075464963912964,0.10041549056768417,76,COMPLETE
13,0.41112615168094635,2026-04-22 17:12:44.198885,2026-04-22 17:31:53.996287,0 days 00:19:09.797402,85,35,0.00020403196116599242,9.125703046060936e-06,0.29825863242149353,0.11286751925945282,37,COMPLETE
11,0.4696870297193527,2026-04-22 16:22:01.988403,2026-04-22 16:54:33.233108,0 days 00:32:31.244705,90,35,0.0002716381563904919,1.3195485687798168e-05,0.34103137254714966,0.12865565717220306,63,COMPLETE
5,0.5074079781770706,2026-04-22 14:27:25.854325,2026-04-22 14:39:50.338509,0 days 00:12:24.484184,65,20,0.0003135775732257748,2.9204338471814107e-05,0.36269399523735046,0.14471398293972015,25,COMPLETE
4,0.5244737714529037,2026-04-22 14:01:20.203434,2026-04-22 14:27:25.853783,0 days 00:26:05.650349,35,55,0.0005418282319533242,1.461896279370496e-05,0.37723830342292786,0.1472354680299759,52,COMPLETE
12,0.5504864901304245,2026-04-22 16:54:33.233777,2026-04-22 17:12:44.198328,0 days 00:18:10.964551,95,40,0.00021488849591854808,3.669591461834737e-06,0.4312768876552582,0.11920960247516632,35,COMPLETE
10,0.5933016091585159,2026-04-22 15:29:40.228012,2026-04-22 16:22:01.987875,0 days 00:52:21.759863,100,40,0.0004231156845697546,1.1799062523159305e-06,0.4095936715602875,0.18370793759822845,100,COMPLETE
14,0.5970172956585884,2026-04-22 17:31:53.996828,2026-04-22 18:23:26.054388,0 days 00:51:32.057560,80,55,0.00015518902141978567,1.0850724244849644e-06,0.47477346658706665,0.12224382907152176,100,COMPLETE
6,0.6233273893594742,2026-04-22 14:39:50.339060,2026-04-22 14:52:10.566567,0 days 00:12:20.227507,50,80,0.00021839352923182988,0.00011400863701127338,0.40685465931892395,0.21647273004055023,24,COMPLETE
9,0.6558933258056641,2026-04-22 15:17:41.092928,2026-04-22 15:29:40.227478,0 days 00:11:59.134550,35,15,0.0014537555576161927,5.762487216478604e-05,0.4331986904144287,0.22269463539123535,25,COMPLETE
7,0.740788608789444,2026-04-22 14:52:10.567108,2026-04-22 15:07:37.678797,0 days 00:15:27.111689,65,10,0.001076962247826313,4.809461967501575e-06,0.4474552273750305,0.29333338141441345,31,COMPLETE
0,0.9211146533489227,2026-04-22 12:32:17.827453,2026-04-22 12:48:03.195628,0 days 00:15:45.368175,45,100,0.0017524101118128151,0.0002481040974867811,0.5485612750053406,0.37255337834358215,30,COMPLETE
8,1.5767293572425842,2026-04-22 15:07:37.679343,2026-04-22 15:17:41.092404,0 days 00:10:03.413061,15,100,0.0043709904681305065,0.0017123375973163992,0.7183879017829895,0.8583414554595947,20,COMPLETE
1,1.7177819609642029,2026-04-22 12:48:03.196177,2026-04-22 13:00:36.748356,0 days 00:12:33.552179,20,20,0.00012551115172973836,0.0029154431891537554,0.7334777116775513,0.9843042492866516,26,COMPLETE
2,2.6946144104003906,2026-04-22 13:00:36.748895,2026-04-22 13:22:58.929585,0 days 00:22:22.180690,65,75,0.00010838581269344756,0.00757947995334801,1.0715570449829102,1.6230573654174805,43,COMPLETE
