number,value,datetime_start,datetime_complete,duration,params_hidden1,params_hidden2,params_lr,params_weight_decay,user_attrs_rel_Tb_%,user_attrs_rel_X_%,user_attrs_stopped_epoch,state
14,0.45902495831251144,2026-04-25 07:33:14.440322,2026-04-25 08:11:58.881331,0 days 00:38:44.441009,85,30,0.00020000640204528999,4.571130384215836e-06,0.36854711174964905,0.0904778465628624,68,COMPLETE
3,0.4636073410511017,2026-04-24 23:56:09.191801,2026-04-25 00:42:17.656147,0 days 00:46:08.464346,85,30,0.00020366442026830908,5.415244119402541e-06,0.35913920402526855,0.10446813702583313,68,COMPLETE
12,0.4960647523403168,2026-04-25 05:15:47.759400,2026-04-25 06:24:27.171527,0 days 01:08:39.412127,100,40,0.00021488849591854808,1.0919235839151983e-06,0.40236973762512207,0.0936950147151947,100,COMPLETE
10,0.5578454434871674,2026-04-25 03:02:17.944669,2026-04-25 04:06:38.199899,0 days 01:04:20.255230,100,40,0.0004231156845697546,1.1799062523159305e-06,0.41493141651153564,0.1429140269756317,93,COMPLETE
5,0.5949925631284714,2026-04-25 00:58:56.173202,2026-04-25 01:21:52.613420,0 days 00:22:56.440218,65,20,0.0003135775732257748,2.9204338471814107e-05,0.4432496726512909,0.15174289047718048,35,COMPLETE
7,0.6316274553537369,2026-04-25 01:48:09.499619,2026-04-25 02:15:05.613487,0 days 00:26:56.113868,65,10,0.001076962247826313,4.809461967501575e-06,0.47393229603767395,0.15769515931606293,41,COMPLETE
13,0.6417367979884148,2026-04-25 06:24:27.172086,2026-04-25 07:33:14.439746,0 days 01:08:47.267660,85,40,0.00020403196116599242,5.536325161866501e-06,0.5418497323989868,0.09988706558942795,100,COMPLETE
4,0.6461453437805176,2026-04-25 00:42:17.656752,2026-04-25 00:58:56.172577,0 days 00:16:38.515825,35,55,0.0005418282319533242,1.461896279370496e-05,0.5080487728118896,0.13809657096862793,25,COMPLETE
6,0.6882568746805191,2026-04-25 01:21:52.614136,2026-04-25 01:48:09.498963,0 days 00:26:16.884827,50,80,0.00021839352923182988,0.00011400863701127338,0.503991961479187,0.1842649132013321,39,COMPLETE
11,0.7817692458629608,2026-04-25 04:06:38.200567,2026-04-25 05:15:47.758797,0 days 01:09:09.558230,100,40,0.00041495243930302165,1.117658470798639e-06,0.4927493631839752,0.2890198826789856,100,COMPLETE
9,0.8951392471790314,2026-04-25 02:31:47.752064,2026-04-25 03:02:17.944074,0 days 00:30:30.192010,35,15,0.0014537555576161927,5.762487216478604e-05,0.6255327463150024,0.26960650086402893,48,COMPLETE
0,0.9619207680225372,2026-04-24 22:44:26.636591,2026-04-24 23:03:40.370392,0 days 00:19:13.733801,45,100,0.0017524101118128151,0.0002481040974867811,0.6983063817024231,0.26361438632011414,28,COMPLETE
1,1.4814513325691223,2026-04-24 23:03:40.371288,2026-04-24 23:32:37.077981,0 days 00:28:56.706693,20,20,0.00012551115172973836,0.0029154431891537554,0.7836667895317078,0.6977845430374146,46,COMPLETE
8,1.5191403031349182,2026-04-25 02:15:05.614034,2026-04-25 02:31:47.751472,0 days 00:16:42.137438,15,100,0.0043709904681305065,0.0017123375973163992,0.9192970991134644,0.5998432040214539,25,COMPLETE
2,2.2671287059783936,2026-04-24 23:32:37.078782,2026-04-24 23:56:09.191128,0 days 00:23:32.112346,65,75,0.00010838581269344756,0.00757947995334801,1.1007169485092163,1.1664117574691772,34,COMPLETE
