number,value,datetime_start,datetime_complete,duration,params_hidden1,params_hidden2,params_lr,params_weight_decay,user_attrs_rel_Tb_%,user_attrs_rel_X_%,user_attrs_stopped_epoch,state
12,0.5473501086235046,2026-04-24 06:48:22.621328,2026-04-24 07:04:46.686550,0 days 00:16:24.065222,80,45,0.0004906690811011229,1.090744571101961e-06,0.37734153866767883,0.1700085699558258,32,COMPLETE
11,0.5683137625455856,2026-04-24 06:22:09.914370,2026-04-24 06:48:22.620757,0 days 00:26:12.706387,90,35,0.0005021342798999926,2.601997772880371e-06,0.41743871569633484,0.1508750468492508,51,COMPLETE
7,0.5935622304677963,2026-04-24 05:31:05.944349,2026-04-24 05:45:24.248368,0 days 00:14:18.304019,65,10,0.001076962247826313,4.809461967501575e-06,0.44544506072998047,0.14811716973781586,29,COMPLETE
3,0.6007344424724579,2026-04-24 04:05:26.152240,2026-04-24 04:35:46.868799,0 days 00:30:20.716559,85,30,0.00020366442026830908,5.415244119402541e-06,0.39913442730903625,0.20160001516342163,59,COMPLETE
5,0.6025533676147461,2026-04-24 04:58:32.319314,2026-04-24 05:12:47.572335,0 days 00:14:15.253021,65,20,0.0003135775732257748,2.9204338471814107e-05,0.4115196168422699,0.1910337507724762,29,COMPLETE
14,0.6158684641122818,2026-04-24 07:18:16.965297,2026-04-24 07:39:12.947401,0 days 00:20:55.982104,85,65,0.00039874072662299373,4.461619048274792e-06,0.4475855827331543,0.1682828813791275,40,COMPLETE
10,0.6418598592281342,2026-04-24 06:03:25.436965,2026-04-24 06:22:09.913835,0 days 00:18:44.476870,100,40,0.0009648925555869572,1.1799062523159305e-06,0.45230332016944885,0.1895565390586853,36,COMPLETE
4,0.7054015249013901,2026-04-24 04:35:46.869396,2026-04-24 04:58:32.318776,0 days 00:22:45.449380,35,55,0.0005418282319533242,1.461896279370496e-05,0.523758590221405,0.18164293467998505,45,COMPLETE
6,0.7125844657421112,2026-04-24 05:12:47.572874,2026-04-24 05:31:05.943814,0 days 00:18:18.370940,50,80,0.00021839352923182988,0.00011400863701127338,0.44679564237594604,0.26578882336616516,36,COMPLETE
13,0.8567786514759064,2026-04-24 07:04:46.687123,2026-04-24 07:18:16.964744,0 days 00:13:30.277621,85,45,0.000568800961326612,1.1048343656394983e-06,0.48439815640449524,0.37238049507141113,26,COMPLETE
9,1.0034842789173126,2026-04-24 05:53:26.178571,2026-04-24 06:03:25.436434,0 days 00:09:59.257863,35,15,0.0014537555576161927,5.762487216478604e-05,0.5860759019851685,0.41740837693214417,21,COMPLETE
0,1.2253751158714294,2026-04-24 03:22:19.045577,2026-04-24 03:34:57.290564,0 days 00:12:38.244987,45,100,0.0017524101118128151,0.0002481040974867811,0.6796618700027466,0.5457132458686829,24,COMPLETE
8,1.9444612860679626,2026-04-24 05:45:24.248933,2026-04-24 05:53:26.178017,0 days 00:08:01.929084,15,100,0.0043709904681305065,0.0017123375973163992,0.9101701378822327,1.03429114818573,16,COMPLETE
1,2.1836541295051575,2026-04-24 03:34:57.291165,2026-04-24 03:45:25.484717,0 days 00:10:28.193552,20,20,0.00012551115172973836,0.0029154431891537554,0.9177913069725037,1.2658628225326538,22,COMPLETE
2,3.2584848403930664,2026-04-24 03:45:25.485234,2026-04-24 04:05:26.151659,0 days 00:20:00.666425,65,75,0.00010838581269344756,0.00757947995334801,1.3630921840667725,1.895392656326294,38,COMPLETE
