number,value,datetime_start,datetime_complete,duration,params_hidden1,params_hidden2,params_lr,params_weight_decay,user_attrs_rel_Tb_%,user_attrs_rel_X_%,user_attrs_stopped_epoch,state
12,0.4721124842762947,2026-04-24 01:23:41.404319,2026-04-24 01:52:15.658716,0 days 00:28:34.254397,100,40,0.00021488849591854808,1.0919235839151983e-06,0.3710254728794098,0.10108701139688492,55,COMPLETE
14,0.4726635217666626,2026-04-24 02:13:40.690210,2026-04-24 02:52:47.723318,0 days 00:39:07.033108,85,30,0.00020000640204528999,4.571130384215836e-06,0.33359387516975403,0.13906964659690857,77,COMPLETE
3,0.47655753791332245,2026-04-23 21:08:54.276658,2026-04-23 22:00:55.698105,0 days 00:52:01.421447,85,30,0.00020366442026830908,5.415244119402541e-06,0.33736005425453186,0.1391974836587906,77,COMPLETE
10,0.5671157240867615,2026-04-24 00:29:02.494700,2026-04-24 00:54:47.844654,0 days 00:25:45.349954,100,40,0.0004231156845697546,1.1799062523159305e-06,0.39541998505592346,0.171695739030838,49,COMPLETE
11,0.5771056413650513,2026-04-24 00:54:47.845185,2026-04-24 01:23:41.403782,0 days 00:28:53.558597,100,40,0.00041495243930302165,1.117658470798639e-06,0.4008633494377136,0.17624229192733765,55,COMPLETE
4,0.5796657055616379,2026-04-23 22:00:55.698771,2026-04-23 22:41:52.397285,0 days 00:40:56.698514,35,55,0.0005418282319533242,1.461896279370496e-05,0.3858223855495453,0.1938433200120926,62,COMPLETE
5,0.6274535804986954,2026-04-23 22:41:52.398044,2026-04-23 23:05:30.150560,0 days 00:23:37.752516,65,20,0.0003135775732257748,2.9204338471814107e-05,0.43533560633659363,0.19211797416210175,40,COMPLETE
13,0.6373067498207092,2026-04-24 01:52:15.659278,2026-04-24 02:13:40.689655,0 days 00:21:25.030377,85,40,0.00020403196116599242,5.536325161866501e-06,0.42148178815841675,0.21582496166229248,42,COMPLETE
6,0.7488125562667847,2026-04-23 23:05:30.151096,2026-04-23 23:35:50.091578,0 days 00:30:19.940482,50,80,0.00021839352923182988,0.00011400863701127338,0.48614802956581116,0.2626645267009735,59,COMPLETE
7,0.9351843297481537,2026-04-23 23:35:50.092119,2026-04-23 23:49:15.519796,0 days 00:13:25.427677,65,10,0.001076962247826313,4.809461967501575e-06,0.49391651153564453,0.44126781821250916,27,COMPLETE
9,0.9544322788715363,2026-04-24 00:07:52.662842,2026-04-24 00:29:02.494152,0 days 00:21:09.831310,35,15,0.0014537555576161927,5.762487216478604e-05,0.6176174283027649,0.33681485056877136,44,COMPLETE
0,1.157550036907196,2026-04-23 19:50:54.933793,2026-04-23 20:12:12.628018,0 days 00:21:17.694225,45,100,0.0017524101118128151,0.0002481040974867811,0.6730228066444397,0.48452723026275635,31,COMPLETE
8,2.0603432059288025,2026-04-23 23:49:15.520336,2026-04-24 00:07:52.662302,0 days 00:18:37.141966,15,100,0.0043709904681305065,0.0017123375973163992,0.8993669152259827,1.1609762907028198,37,COMPLETE
1,2.4924412965774536,2026-04-23 20:12:12.628881,2026-04-23 20:51:43.923139,0 days 00:39:31.294258,20,20,0.00012551115172973836,0.0029154431891537554,0.968608021736145,1.5238332748413086,63,COMPLETE
2,3.7970972061157227,2026-04-23 20:51:43.923818,2026-04-23 21:08:54.275986,0 days 00:17:10.352168,65,75,0.00010838581269344756,0.00757947995334801,1.552032470703125,2.2450647354125977,25,COMPLETE
