number,value,datetime_start,datetime_complete,duration,params_hidden1,params_hidden2,params_lr,params_weight_decay,user_attrs_rel_Tb_%,user_attrs_rel_X_%,user_attrs_stopped_epoch,state
3,0.5936916470527649,2026-04-19 23:21:54.587269,2026-04-19 23:34:27.815096,0 days 00:12:33.227827,85,30,0.00020366442026830908,5.415244119402541e-06,0.4572249948978424,0.13646665215492249,29,COMPLETE
12,0.5991513282060623,2026-04-20 01:25:25.884298,2026-04-20 02:04:43.888839,0 days 00:39:18.004541,80,35,0.00023251312124837037,1.0868341103320917e-06,0.4937101900577545,0.1054411381483078,100,COMPLETE
13,0.6023937910795212,2026-04-20 02:04:43.889389,2026-04-20 02:29:08.156868,0 days 00:24:24.267479,85,40,0.00018216739704779133,1.1046988264487171e-06,0.4885665774345398,0.11382721364498138,63,COMPLETE
5,0.6400051116943359,2026-04-19 23:43:44.032321,2026-04-19 23:59:35.313134,0 days 00:15:51.280813,65,20,0.0003135775732257748,2.9204338471814107e-05,0.48329290747642517,0.15671220421791077,38,COMPLETE
14,0.6695214956998825,2026-04-20 02:29:08.157437,2026-04-20 02:45:54.288415,0 days 00:16:46.130978,80,55,0.000672178411319505,3.7702059188218185e-06,0.5418813228607178,0.12764017283916473,43,COMPLETE
11,0.7159210294485092,2026-04-20 01:11:55.309685,2026-04-20 01:25:25.883690,0 days 00:13:30.574005,90,35,0.0002716381563904919,1.3195485687798168e-05,0.5017924904823303,0.2141285389661789,31,COMPLETE
10,0.7478199601173401,2026-04-20 00:57:05.448585,2026-04-20 01:11:55.309136,0 days 00:14:49.860551,100,40,0.0004231156845697546,1.1799062523159305e-06,0.5955626368522644,0.15225732326507568,34,COMPLETE
4,0.7492393851280212,2026-04-19 23:34:27.815717,2026-04-19 23:43:44.031767,0 days 00:09:16.216050,35,55,0.0005418282319533242,1.461896279370496e-05,0.5704314708709717,0.17880791425704956,22,COMPLETE
7,0.7964144349098206,2026-04-20 00:21:15.101990,2026-04-20 00:40:00.248341,0 days 00:18:45.146351,65,10,0.001076962247826313,4.809461967501575e-06,0.5633479356765747,0.23306649923324585,45,COMPLETE
6,0.86839459836483,2026-04-19 23:59:35.313669,2026-04-20 00:21:15.101387,0 days 00:21:39.787718,50,80,0.00021839352923182988,0.00011400863701127338,0.6363410353660583,0.23205356299877167,50,COMPLETE
9,0.9266180247068405,2026-04-20 00:49:03.579967,2026-04-20 00:57:05.447796,0 days 00:08:01.867829,35,15,0.0014537555576161927,5.762487216478604e-05,0.6815531253814697,0.2450648993253708,20,COMPLETE
0,1.15665665268898,2026-04-19 22:51:21.915727,2026-04-19 23:01:05.540756,0 days 00:09:43.625029,45,100,0.0017524101118128151,0.0002481040974867811,0.7072425484657288,0.44941410422325134,22,COMPLETE
8,1.8795583248138428,2026-04-20 00:40:00.248909,2026-04-20 00:49:03.579315,0 days 00:09:03.330406,15,100,0.0043709904681305065,0.0017123375973163992,0.9546625018119812,0.9248958230018616,21,COMPLETE
1,1.9834288954734802,2026-04-19 23:01:05.541507,2026-04-19 23:12:40.014467,0 days 00:11:34.472960,20,20,0.00012551115172973836,0.0029154431891537554,0.9304360747337341,1.052992820739746,29,COMPLETE
2,2.9485690593719482,2026-04-19 23:12:40.015040,2026-04-19 23:21:54.586643,0 days 00:09:14.571603,65,75,0.00010838581269344756,0.00757947995334801,1.244720220565796,1.7038488388061523,21,COMPLETE
