number,value,datetime_start,datetime_complete,duration,params_hidden1,params_hidden2,params_lr,params_weight_decay,user_attrs_rel_Tb_%,user_attrs_rel_X_%,user_attrs_stopped_epoch,state
3,0.5853224396705627,2026-04-20 08:40:04.155838,2026-04-20 09:23:23.484208,0 days 00:43:19.328370,85,30,0.00020366442026830908,5.415244119402541e-06,0.4614160656929016,0.12390637397766113,100,COMPLETE
12,0.5931962952017784,2026-04-20 11:57:18.263836,2026-04-20 12:36:01.374975,0 days 00:38:43.111139,95,40,0.00021488849591854808,3.669591461834737e-06,0.4906828999519348,0.1025133952498436,88,COMPLETE
11,0.6548135727643967,2026-04-20 11:39:34.143713,2026-04-20 11:57:18.263280,0 days 00:17:44.119567,90,35,0.0002716381563904919,1.3195485687798168e-05,0.5401894450187683,0.11462412774562836,41,COMPLETE
13,0.6688540875911713,2026-04-20 12:36:01.375621,2026-04-20 13:20:05.577894,0 days 00:44:04.202273,85,45,0.0001739850025757325,1.1722831218126983e-06,0.5384404063224792,0.13041368126869202,100,COMPLETE
14,0.6868797689676285,2026-04-20 13:20:05.578658,2026-04-20 13:50:06.277306,0 days 00:30:00.698648,85,30,0.000672178411319505,4.571130384215836e-06,0.5481151938438416,0.13876457512378693,69,COMPLETE
5,0.7778191417455673,2026-04-20 09:37:36.941836,2026-04-20 09:53:06.870812,0 days 00:15:29.928976,65,20,0.0003135775732257748,2.9204338471814107e-05,0.6195099353790283,0.158309206366539,37,COMPLETE
4,0.8182052671909332,2026-04-20 09:23:23.484811,2026-04-20 09:37:36.941156,0 days 00:14:13.456345,35,55,0.0005418282319533242,1.461896279370496e-05,0.6762596964836121,0.14194557070732117,34,COMPLETE
6,0.8278959095478058,2026-04-20 09:53:06.871520,2026-04-20 10:09:29.781434,0 days 00:16:22.909914,50,80,0.00021839352923182988,0.00011400863701127338,0.5742083787918091,0.2536875307559967,38,COMPLETE
7,0.8332573622465134,2026-04-20 10:09:29.782433,2026-04-20 10:29:58.239338,0 days 00:20:28.456905,65,10,0.001076962247826313,4.809461967501575e-06,0.634821891784668,0.1984354704618454,42,COMPLETE
9,0.9214684218168259,2026-04-20 10:38:18.486077,2026-04-20 10:48:13.759288,0 days 00:09:55.273211,35,15,0.0014537555576161927,5.762487216478604e-05,0.6809332370758057,0.2405351847410202,21,COMPLETE
10,0.9897000193595886,2026-04-20 10:48:13.759917,2026-04-20 11:39:34.143079,0 days 00:51:20.383162,100,40,0.0004231156845697546,1.1799062523159305e-06,0.49988293647766113,0.4898170828819275,100,COMPLETE
0,1.0678002536296844,2026-04-20 07:53:56.535714,2026-04-20 08:10:25.399528,0 days 00:16:28.863814,45,100,0.0017524101118128151,0.0002481040974867811,0.7467861771583557,0.32101407647132874,41,COMPLETE
8,1.5841315984725952,2026-04-20 10:29:58.239978,2026-04-20 10:38:18.485440,0 days 00:08:20.245462,15,100,0.0043709904681305065,0.0017123375973163992,0.9154253602027893,0.6687062382698059,17,COMPLETE
1,1.663592278957367,2026-04-20 08:10:25.400216,2026-04-20 08:27:45.373615,0 days 00:17:19.973399,20,20,0.00012551115172973836,0.0029154431891537554,0.8642769455909729,0.799315333366394,44,COMPLETE
2,2.4189192056655884,2026-04-20 08:27:45.374315,2026-04-20 08:40:04.155031,0 days 00:12:18.780716,65,75,0.00010838581269344756,0.00757947995334801,1.1229552030563354,1.295964002609253,28,COMPLETE
